speaker_id,source_dataset,lang,age_group_raw,gender,region_state,region_district,recording_date,device
S4256001000337049,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Mirzapur,,
S4256027900336560,indicvoices_r_hindi,hi,60+,Male,Uttar Pradesh,Sonbhadra,,
S4256035000336645,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Jabalpur,,
S4256343500322905,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Jabalpur,,
S4256505800330722,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jodhpur,,
S4256633100337347,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4256638500327010,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Balaghat,,
S4256662900329207,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4256664400323408,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Bhopal,,
S4256665300321238,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4256669300320861,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4256681100327912,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Bhopal,,
S4256682300321209,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Bhopal,,
S4256690800331964,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Karauli,,
S4256696000337947,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4256698100325582,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4256709200337394,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4256719400331043,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4256735600330525,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4256748800338244,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4256770500331089,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4256771000336660,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
S4256795400338093,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4256810500338601,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4256828000337149,indicvoices_r_hindi,hi,60+,Male,Uttar Pradesh,Sonbhadra,,
S4256831000337063,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4256835600338755,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4256854300337206,indicvoices_r_hindi,hi,60+,Female,Uttar Pradesh,Sonbhadra,,
S4256858600338247,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4256875100338948,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4256881600336277,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4256901000332608,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Mirzapur,,
S4256975600332791,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4257013100300205,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Bhopal,,
S4257013200300552,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Bhopal,,
S4257023500337951,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4257026800330972,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jodhpur,,
S4257031800379054,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Mirzapur,,
S4257034300300511,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4257060600307163,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Mirzapur,,
S4257070200395872,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4257095300383130,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4257116400345559,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Bhopal,,
S4257128200304373,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Karauli,,
S4257163900384554,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4257176600320245,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4257191700343246,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jodhpur,,
