system,utt_id,speaker_id,age_band,duration,wer,cer,divergence,substitutions,deletions,insertions,hits,ref_words,hyp_words,speaking_rate
mms-1b-all,5348024557514848_chunk_1_enhanced,S4259578300372511,control,12.546,0.15384615384615385,0.02459016393442623,0.12925598991172763,3,1,0,22,26,25,2.07237366491312
mms-1b-all,5348024557514848_chunk_5_enhanced,S4259578300372511,control,9.155,0.13636363636363635,0.06930693069306931,0.06705670567056704,3,0,0,19,22,22,2.4030584380120152
mms-1b-all,5348024557514850_chunk_6_enhanced,S4259578300372511,control,16.0070208333,0.2682926829268293,0.07650273224043716,0.19178995068639212,10,1,0,30,41,40,2.5613760628527564
mms-1b-all,5348024557514851_chunk_3_enhanced,S4259578300372511,control,15.4380208333,0.22857142857142856,0.058823529411764705,0.16974789915966387,8,0,0,27,35,35,2.2671299888716674
mms-1b-all,5348024557514853_chunk_1_enhanced,S4259578300372511,control,14.834,0.19047619047619047,0.05025125628140704,0.14022493419478343,7,1,0,34,42,41,2.8313334232169343
mms-1b-all,5348024557514854_chunk_3_enhanced,S4259578300372511,control,11.584,0.4482758620689655,0.19333333333333333,0.25494252873563217,11,2,0,16,29,27,2.5034530386740332
mms-1b-all,5348024557514855_chunk_2_enhanced,S4259578300372511,control,10.866,0.17647058823529413,0.06896551724137931,0.10750507099391482,5,0,1,29,34,35,3.1290263206331677
mms-1b-all,5348024557514859_chunk_2_enhanced,S4259578300372511,control,5.056,0.08333333333333333,0.018518518518518517,0.06481481481481481,1,0,0,11,12,12,2.373417721518987
mms-1b-all,5348024557514860_chunk_1_enhanced,S4259578300372511,control,14.263,0.18518518518518517,0.043795620437956206,0.14138956474722897,4,1,0,22,27,26,1.8930098857182922
mms-1b-all,5348024557514861_chunk_3_enhanced,S4259578300372511,control,7.5560208333,0.375,0.07476635514018691,0.3002336448598131,7,1,1,16,24,24,3.176274990432801
mms-1b-all,5348024557514861_chunk_8_enhanced,S4259578300372511,control,8.6180208333,0.35714285714285715,0.08571428571428572,0.27142857142857146,5,0,0,9,14,14,1.624502919034966
mms-1b-all,5348024557514862_chunk_2_enhanced,S4259578300372511,control,12.297,0.15384615384615385,0.05084745762711865,0.10299869621903521,3,3,0,33,39,36,3.1715052451817516
mms-1b-all,5348024557514864_chunk_2_enhanced,S4259578300372511,control,7.225,0.391304347826087,0.12871287128712872,0.26259147653895826,9,0,0,14,23,23,3.183391003460208
mms-1b-all,5348024557514865_chunk_6_enhanced,S4259578300372511,control,12.694,0.21052631578947367,0.09580838323353294,0.11471793255594073,5,3,0,30,38,35,2.9935402552386954
mms-1b-all,5348024557514872_chunk_1_enhanced,S4259390600311126,control,3.877,0.0,0.0,0.0,0,0,0,7,7,7,1.8055197317513543
mms-1b-all,5348024557514878_chunk_1_enhanced,S4259390600311126,control,13.701,0.45,0.06542056074766354,0.38457943925233645,6,3,0,11,20,17,1.4597474636887817
