system,utt_id,speaker_id,age_band,wer,cer
mms-1b-all,5348024557514848_chunk_1_enhanced,S4259578300372511,control,0.07692307692307693,0.00819672131147541
mms-1b-all,5348024557514848_chunk_5_enhanced,S4259578300372511,control,0.13636363636363635,0.06930693069306931
mms-1b-all,5348024557514850_chunk_6_enhanced,S4259578300372511,control,0.24390243902439024,0.08196721311475409
mms-1b-all,5348024557514851_chunk_3_enhanced,S4259578300372511,control,0.22857142857142856,0.05844155844155844
mms-1b-all,5348024557514853_chunk_1_enhanced,S4259578300372511,control,0.14285714285714285,0.035175879396984924
mms-1b-all,5348024557514854_chunk_3_enhanced,S4259578300372511,control,0.41379310344827586,0.18791946308724833
mms-1b-all,5348024557514855_chunk_2_enhanced,S4259578300372511,control,0.17647058823529413,0.06206896551724138
mms-1b-all,5348024557514859_chunk_2_enhanced,S4259578300372511,control,0.08333333333333333,0.018518518518518517
mms-1b-all,5348024557514860_chunk_1_enhanced,S4259578300372511,control,0.18518518518518517,0.043795620437956206
mms-1b-all,5348024557514861_chunk_3_enhanced,S4259578300372511,control,0.375,0.07476635514018691
mms-1b-all,5348024557514861_chunk_8_enhanced,S4259578300372511,control,0.35714285714285715,0.08571428571428572
mms-1b-all,5348024557514862_chunk_2_enhanced,S4259578300372511,control,0.15384615384615385,0.05084745762711865
mms-1b-all,5348024557514864_chunk_2_enhanced,S4259578300372511,control,0.7777777777777778,0.4675324675324675
mms-1b-all,5348024557514865_chunk_6_enhanced,S4259578300372511,control,0.21052631578947367,0.09580838323353294
mms-1b-all,5348024557514872_chunk_1_enhanced,S4259390600311126,control,0.0,0.0
mms-1b-all,5348024557514878_chunk_1_enhanced,S4259390600311126,control,0.45,0.06542056074766354
mms-1b-all,5348024557514880_chunk_1_enhanced,S4259390600311126,control,0.2,0.08695652173913043
mms-1b-all,5348024557514892_chunk_1_enhanced,S4259390600311126,control,2.0,0.25
mms-1b-all,5348024557514897_chunk_3_enhanced,S4259390600311126,control,0.16666666666666666,0.05
mms-1b-all,5348024557514898_chunk_3_enhanced,S4259390600311126,control,0.5,0.3235294117647059
mms-1b-all,5348024557514899_chunk_11_enhanced,S4259390600311126,control,0.4444444444444444,0.1375
mms-1b-all,5348024557514900_chunk_4_enhanced,S4259390600311126,control,0.25,0.09230769230769231
mms-1b-all,5348024557514900_chunk_6_enhanced,S4259390600311126,control,0.4594594594594595,0.20422535211267606
mms-1b-all,5348024557514901_chunk_4_enhanced,S4259390600311126,control,0.5,0.1
