system,metric,n_elderly_speakers,n_control_speakers,cohens_d,rank_biserial_r,mannwhitney_p
mms-1b-all,wer,50,317,0.044354627876060454,0.07735015772870657,0.37965443413298994
mms-1b-all,cer,50,317,0.01931948908095019,0.09652996845425865,0.272836905953446
mms-1b-all,divergence,50,317,0.05807761250820967,0.0856782334384858,0.330454097741798
indicconformer-600m-multilingual,wer,50,317,-0.09436829469321299,-0.03709779179810724,0.6737705907506035
indicconformer-600m-multilingual,cer,50,317,-0.09330180951378583,-0.08063091482649842,0.35975814974832476
indicconformer-600m-multilingual,divergence,50,317,0.08189581868421159,0.032176656151419625,0.7150819171357228
whisper-large-v3,wer,50,313,-0.01605811603385948,0.13597444089456867,0.1226977714472947
whisper-large-v3,cer,50,313,-0.04525717217311424,0.18300319488817895,0.03774084707475991
whisper-large-v3,divergence,50,313,0.07305822724513383,0.15936102236421723,0.07042740114342608
indicwhisper-hindi,wer,50,313,0.13926702361969434,0.18466453674121408,0.036035532974692384
indicwhisper-hindi,cer,50,313,0.1874273023894087,0.18926517571884993,0.031652150040540845
indicwhisper-hindi,divergence,50,313,0.024891429400165685,0.1339297124600638,0.12842900173795926
