system,age_band,metric,estimate,ci_low,ci_high,n_speakers,flag
mms-1b-all,60+,wer,0.35792088883387,0.3426995610327997,0.3732063174467357,50,
mms-1b-all,60+,cer,0.13145261270882055,0.12439309732789555,0.13867243784748212,50,
mms-1b-all,60+,divergence,0.22646827612504938,0.21750744821191692,0.23514832294383606,50,
mms-1b-all,control,wer,0.35430777020244214,0.3450982090190944,0.36357334476190767,317,
mms-1b-all,control,cer,0.13063880456935334,0.1258222606614819,0.1354746077706014,317,
mms-1b-all,control,divergence,0.22366896563308877,0.21831370353751625,0.22910464195044886,317,
indicconformer-600m-multilingual,60+,wer,0.1705992846747502,0.16023341441228003,0.1819786370445904,50,
indicconformer-600m-multilingual,60+,cer,0.051992153445625154,0.04841675929315737,0.05587027683452332,50,
indicconformer-600m-multilingual,60+,divergence,0.11860713122912502,0.1114931246637511,0.12636641081262223,50,
indicconformer-600m-multilingual,control,wer,0.1831029631006086,0.17126642691877922,0.20131484630148272,317,
indicconformer-600m-multilingual,control,cer,0.07614189841999214,0.05640199880501974,0.11102927001398485,317,
indicconformer-600m-multilingual,control,divergence,0.10696106468061645,0.08730118318316481,0.11931183370433086,317,
whisper-large-v3,60+,wer,0.35496668933077236,0.3416271107971758,0.36896439240902656,50,
whisper-large-v3,60+,cer,0.1533910202431338,0.14401168491950084,0.16350696511022675,50,
whisper-large-v3,60+,divergence,0.20157566908763855,0.19508626445266186,0.2079731406985917,50,
whisper-large-v3,control,wer,0.3579880956082699,0.3379213248488471,0.3833872460948414,313,
whisper-large-v3,control,cer,0.16114419334736893,0.14410624082421716,0.18456965782696702,313,
whisper-large-v3,control,divergence,0.19684390226090098,0.18917993558438884,0.20473639137122218,313,
indicwhisper-hindi,60+,wer,0.5054490595648568,0.4607052385278441,0.5577214248360176,50,
indicwhisper-hindi,60+,cer,0.3452685996073352,0.30917848252753016,0.3837412392868347,50,
indicwhisper-hindi,60+,divergence,0.16018045995752167,0.14368081358121984,0.18063774250748993,50,
indicwhisper-hindi,control,wer,0.46365698107807857,0.4339966214365339,0.5024226847577148,313,
indicwhisper-hindi,control,cer,0.3074218759504103,0.2856037938091117,0.3318041613081724,313,
indicwhisper-hindi,control,divergence,0.15623510512766825,0.1411574509550326,0.17759070249554715,313,
