system,age_band,metric,estimate,ci_low,ci_high,n_speakers
mms-1b-all,60+,wer,0.34220268539004955,0.32764773137988107,0.3574551087685407,50
mms-1b-all,60+,cer,0.1285173839465808,0.12149269436364112,0.13581325398312838,50
mms-1b-all,control,wer,0.340878081126925,0.33157982941965686,0.35018815515582014,317
mms-1b-all,control,cer,0.12837988464683373,0.12349006485267378,0.13332770987752143,317
indicconformer-600m-multilingual,60+,wer,0.131598147258956,0.1252790910651363,0.1383267153180702,50
indicconformer-600m-multilingual,60+,cer,0.04194530183119875,0.03942485456086333,0.04466364393826012,50
indicconformer-600m-multilingual,control,wer,0.14527979495953658,0.13417519804568678,0.16316167963856637,317
indicconformer-600m-multilingual,control,cer,0.0666774744854505,0.04705336310523064,0.10134708605129913,317
whisper-large-v3,60+,wer,0.34415127922919697,0.3315108992690154,0.3573588351185843,50
whisper-large-v3,60+,cer,0.15166089158935991,0.14260447127614287,0.16144755707552302,50
whisper-large-v3,control,wer,0.3498759250762068,0.3297719055794731,0.37534556167153094,313
whisper-large-v3,control,cer,0.16035534532618956,0.14318787768674573,0.183816265318879,313
indicwhisper-hindi,60+,wer,0.4809648622139512,0.4358578321473241,0.5339030181926216,50
indicwhisper-hindi,60+,cer,0.33820953250669755,0.301924077622082,0.3770225435523151,50
indicwhisper-hindi,control,wer,0.44053578008030303,0.41097918102362485,0.47919024244365804,313
indicwhisper-hindi,control,cer,0.301346828478676,0.2793213752996535,0.32613484936335396,313
