system,age_band,metric,estimate,ci_low,ci_high,n_speakers
mms-1b-all,60+,wer,0.35370542411639755,0.33925493417036234,0.368223256882942,50
mms-1b-all,60+,cer,0.130396992213745,0.12341413701246128,0.13756766360636496,50
mms-1b-all,control,wer,0.3499653844741579,0.3415867765288281,0.3583453093231137,317
mms-1b-all,control,cer,0.12918361847114554,0.12462476875716404,0.13371328794678983,317
indicconformer-600m-multilingual,60+,wer,0.1705992846747502,0.16023341441228003,0.1819786370445904,50
indicconformer-600m-multilingual,60+,cer,0.051992153445625154,0.04841675929315737,0.05587027683452332,50
indicconformer-600m-multilingual,control,wer,0.17352360848333986,0.16770542111661021,0.1793968715025556,317
indicconformer-600m-multilingual,control,cer,0.054540056927454866,0.05243389309635777,0.056606610426451154,317
whisper-large-v3,60+,wer,0.34756575796369477,0.33645509052696126,0.35877400389281194,50
whisper-large-v3,60+,cer,0.14705281653174762,0.13985009188862715,0.15437055677680983,50
whisper-large-v3,control,wer,0.337595967244503,0.32811889370426456,0.3471737762609467,312
whisper-large-v3,control,cer,0.14399855362923955,0.13732290409983075,0.15083732232766991,312
indicwhisper-hindi,60+,wer,0.42068936428019127,0.3944400945733328,0.44756682622846744,50
indicwhisper-hindi,60+,cer,0.2835902439468695,0.2574300183140943,0.31058206878518196,50
indicwhisper-hindi,control,wer,0.38868144182910724,0.3733656138821723,0.404586067145859,313
indicwhisper-hindi,control,cer,0.24802575821339684,0.23450400668691507,0.26221115487581415,313
